run,subrun,event,opdet,opchannel,obs_pe,pred_pe,total_obs_pe,ophit_amp,ophit_pe,ophit_pe_over_amp,event_max_amp,fileno,entry,dlmerged
14712,155,7751,17,14,0.00,919.8,12632,341.4,-0.79,-0.0023,20493,156,36,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/47/12/merged_dlreco_ac9e970d-1dc3-4d4d-8841-5df4271b16af.root
14712,155,7751,19,21,0.00,14789.5,12632,4263.6,-45.20,-0.0106,20493,156,36,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/47/12/merged_dlreco_ac9e970d-1dc3-4d4d-8841-5df4271b16af.root
17653,42,2146,10,12,0.00,14170.2,7936,43.7,-2.84,-0.0649,20410,1148,31,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/53/merged_dlreco_ec4746e1-dff9-4dd7-a661-e128b216a69c.root
17653,42,2146,12,10,0.00,1275.1,7936,307.4,-1.91,-0.0062,20410,1148,31,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/53/merged_dlreco_ec4746e1-dff9-4dd7-a661-e128b216a69c.root
16694,27,1382,21,19,0.00,10242.4,8906,7.3,0.42,0.0575,19203,749,10,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/66/94/merged_dlreco_d0d927d0-fe63-4472-bf44-5fffefc88f08.root
17219,91,4590,10,12,0.00,9994.7,6314,7.3,0.36,0.0500,10490,947,41,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/72/19/merged_dlreco_0d64056b-10fc-410b-b107-1cc5c4bebcff.root
17327,82,4133,0,4,0.00,9457.8,5306,20.0,1.90,0.0951,6918,995,35,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/27/merged_dlreco_16b4f4da-1279-4078-a9ad-bd1a8bc9a446.root
14251,6,334,11,8,0.00,8960.6,4823,16.3,0.53,0.0325,11806,32,47,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/42/51/merged_dlreco_d8751081-1a00-40d6-8876-ab59d3473bff.root
14127,61,3099,27,30,0.00,8537.5,3813,0.0,0.00,nan,4197,4,20,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/41/27/merged_dlreco_9104e2d8-c580-4d91-b064-63d32f9427f3.root
17386,8,437,17,14,0.00,697.7,11123,148.3,-7.29,-0.0492,19203,1032,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/86/merged_dlreco_0de0c4bc-d8dc-4b48-9dd0-27bef59472ef.root
17386,8,437,21,19,0.00,8437.4,11123,7.6,0.48,0.0627,19203,1032,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/86/merged_dlreco_0de0c4bc-d8dc-4b48-9dd0-27bef59472ef.root
16944,252,12617,14,13,0.00,8100.4,3437,1841.3,-90.06,-0.0489,2027,821,20,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/44/merged_dlreco_46cd9b0b-8f61-4a18-806a-6da9feaabc5e.root
16944,252,12617,17,14,0.00,4096.5,3437,28.4,1.62,0.0571,2027,821,20,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/44/merged_dlreco_46cd9b0b-8f61-4a18-806a-6da9feaabc5e.root
14428,25,1258,7,9,1.86,2023.7,6627,57.9,3.41,0.0589,12284,75,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/44/28/merged_dlreco_a6fa54c9-966f-4992-b07e-ae3124a09edb.root
14428,25,1258,10,12,0.00,7977.6,6627,7.5,0.37,0.0495,12284,75,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/44/28/merged_dlreco_a6fa54c9-966f-4992-b07e-ae3124a09edb.root
15411,52,2637,10,12,0.00,7316.6,3521,17.7,1.23,0.0694,7329,441,5,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/54/11/merged_dlreco_bc4bb1b0-a0c1-4654-a2e9-1f09a25259b6.root
15014,234,11701,18,16,0.00,794.2,15525,349.2,0.02,0.0001,19202,306,49,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/50/14/merged_dlreco_bab591ee-b6f3-4516-829c-d80e8e360873.root
15014,234,11701,21,19,0.00,2755.7,15525,17.2,1.08,0.0627,19202,306,49,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/50/14/merged_dlreco_bab591ee-b6f3-4516-829c-d80e8e360873.root
15014,234,11701,24,22,0.00,7150.6,15525,8.8,0.62,0.0708,19202,306,49,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/50/14/merged_dlreco_bab591ee-b6f3-4516-829c-d80e8e360873.root
17787,47,2359,10,12,2.55,7100.9,11757,60.7,3.94,0.0650,20410,1209,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/77/87/merged_dlreco_b71f5d7e-9d23-4521-a839-56be278ead2d.root
15345,143,7186,30,27,0.00,6982.7,5693,6.6,0.33,0.0500,15282,410,12,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/53/45/merged_dlreco_e971a310-fadd-4928-b5b0-5acdaf7ea2ee.root
14212,111,5575,11,8,0.00,6905.3,9082,19.1,1.32,0.0694,13930,23,10,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/42/12/merged_dlreco_6afb54db-e9d6-4fdc-8cc9-02e5f7c2c624.root
17195,158,7931,0,4,0.00,6399.0,8448,0.0,0.00,nan,12236,933,42,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/71/95/merged_dlreco_f518d9a6-cc84-4ef2-b791-b74cbaf4becc.root
17195,158,7931,4,6,0.00,219.3,8448,8.1,0.40,0.0500,12236,933,42,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/71/95/merged_dlreco_f518d9a6-cc84-4ef2-b791-b74cbaf4becc.root
17160,11,569,0,4,0.00,6274.5,6661,26.2,2.78,0.1064,19789,916,10,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/71/60/merged_dlreco_a0f19d51-c4f5-4247-960d-e715ae0abc48.root
18212,34,1742,11,8,0.00,6210.7,7434,7.9,0.60,0.0757,9244,1316,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/12/merged_dlreco_bb24c217-bc42-40a0-b45b-3afb50743ef4.root
16312,75,3780,26,25,0.00,6117.0,5874,0.0,0.00,nan,10585,676,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/63/12/merged_dlreco_06a9322e-7206-4fee-9caa-267fafeb666c.root
15943,38,1906,10,12,3.34,6115.5,9506,61.8,3.38,0.0548,17229,540,33,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/59/43/merged_dlreco_324e7bfd-057d-4b62-8cb3-d871b8c3ff9c.root
15948,46,2341,20,23,0.00,6053.9,4725,17.8,0.45,0.0253,8500,542,29,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/59/48/merged_dlreco_145fce40-d72c-4c41-adde-0a0fd879e4cd.root
18226,175,8776,13,15,0.00,1706.7,13757,524.4,-0.55,-0.0011,5008,1329,9,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/26/merged_dlreco_549800f1-8b58-418e-9e62-7e797063ee97.root
18226,175,8776,24,22,0.66,1800.6,13757,127.1,0.48,0.0038,5008,1329,9,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/26/merged_dlreco_549800f1-8b58-418e-9e62-7e797063ee97.root
18226,175,8776,27,30,0.00,5969.4,13757,0.0,0.00,nan,5008,1329,9,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/26/merged_dlreco_549800f1-8b58-418e-9e62-7e797063ee97.root
18268,24,1225,4,6,0.00,3392.8,6661,51.8,0.82,0.0157,3231,1357,21,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/68/merged_dlreco_0e8ca26f-b10c-41ae-93e1-c78f8211823d.root
18268,24,1225,7,9,0.00,5935.3,6661,7.5,0.37,0.0489,3231,1357,21,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/82/68/merged_dlreco_0e8ca26f-b10c-41ae-93e1-c78f8211823d.root
15975,70,3506,10,12,0.00,5878.8,3377,20.1,1.32,0.0657,5902,556,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/59/75/merged_dlreco_687c3cb1-2ade-4630-a061-f6afe15d3385.root
17080,28,1410,10,12,0.00,5837.2,8206,13.6,-0.38,-0.0283,8716,870,13,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/70/80/merged_dlreco_4b4df5a3-f1ff-49d2-978d-83f5d6130dbc.root
16916,180,9030,20,23,0.00,5709.5,3106,7.5,0.37,0.0489,2386,811,55,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/16/merged_dlreco_ec966c5c-963f-445c-836a-dfc5c5b8af8c.root
14571,44,2245,6,3,0.08,5701.7,5122,17.3,1.21,0.0700,6661,113,12,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/45/71/merged_dlreco_449d08a7-9570-495b-aa91-0af6a6f6be7b.root
16288,77,3872,23,24,0.00,601.7,8387,312.8,-2.78,-0.0089,19202,669,49,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/62/88/merged_dlreco_252a7080-8577-47f4-9d39-91234c287ad3.root
16288,77,3872,24,22,0.00,5676.2,8387,0.0,0.00,nan,19202,669,49,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/62/88/merged_dlreco_252a7080-8577-47f4-9d39-91234c287ad3.root
17493,300,15010,24,22,0.00,5660.4,4499,26.2,0.68,0.0260,3625,1080,54,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/74/93/merged_dlreco_fd2995a0-631c-428c-8c5d-237ad4ee0161.root
17692,11,598,0,4,0.00,5533.0,7496,6.3,0.31,0.0487,19937,1181,7,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/92/merged_dlreco_15a4da81-d8f0-470c-b703-de47a5501ead.root
17692,11,598,6,3,0.00,2194.4,7496,497.0,1.58,0.0032,19937,1181,7,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/92/merged_dlreco_15a4da81-d8f0-470c-b703-de47a5501ead.root
17131,38,1931,12,10,4.48,5519.6,4666,17.5,4.03,0.2300,3756,897,18,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/71/31/merged_dlreco_299578ee-52e7-4e71-a3e3-d5033de46525.root
16023,430,21512,18,16,0.00,5323.9,3027,12.9,1.13,0.0880,3520,573,37,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/23/merged_dlreco_c82ef557-fff5-49dc-88ac-6358ef92f8c2.root
17693,54,2708,10,12,0.00,5285.3,5621,24.1,1.64,0.0679,5824,1183,0,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/76/93/merged_dlreco_28c558d1-8511-4b82-8213-0c67b257d9bc.root
17110,44,2206,11,8,0.00,5275.3,5449,7.6,0.36,0.0478,9021,886,24,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/71/10/merged_dlreco_ae72af62-7cc3-4152-9c33-f105b6914c6a.root
17220,61,3098,23,24,0.00,5266.6,5299,28.8,0.21,0.0071,2460,948,8,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/72/20/merged_dlreco_1c8206b1-318a-4d36-ba1f-073c70c8901e.root
16919,352,17608,5,1,0.00,1585.0,7048,353.2,-0.51,-0.0014,7963,813,42,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/19/merged_dlreco_dafe2b84-a9b5-4f49-8cfb-7dd1ff7adbc9.root
16919,352,17608,7,9,0.00,5164.6,7048,9.3,0.42,0.0455,7963,813,42,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/19/merged_dlreco_dafe2b84-a9b5-4f49-8cfb-7dd1ff7adbc9.root
16976,67,3389,4,6,1.06,1604.2,11413,500.9,1.97,0.0039,20409,837,43,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/76/merged_dlreco_7ba7f413-bc8d-47dd-b219-990ef6555178.root
16976,67,3389,7,9,0.00,5105.8,11413,6.5,0.31,0.0474,20409,837,43,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/76/merged_dlreco_7ba7f413-bc8d-47dd-b219-990ef6555178.root
16095,257,12900,13,15,4.21,1484.2,12903,524.1,3.96,0.0076,5407,595,41,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/95/merged_dlreco_e3bc6c5a-5835-4049-a5a6-232a5d3ba0f4.root
16095,257,12900,21,19,0.00,5081.0,12903,32.5,1.25,0.0384,5407,595,41,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/95/merged_dlreco_e3bc6c5a-5835-4049-a5a6-232a5d3ba0f4.root
17356,208,10446,10,12,0.00,5076.3,6841,8.6,0.42,0.0490,7418,1012,32,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/73/56/merged_dlreco_26a0bbc9-c84c-4070-a401-be3ad5f54f31.root
16036,260,13036,21,19,0.00,5027.8,12477,41.2,-1.77,-0.0429,12338,577,16,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/60/36/merged_dlreco_bd7a7fbc-6be2-4eec-9acb-2173e29228c3.root
16948,119,5989,10,12,0.00,5024.8,3466,38.0,-3.53,-0.0929,6969,824,53,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/48/merged_dlreco_02a9fb5a-91a2-4fb3-8b66-29b75508ddd9.root
16948,119,5989,12,10,0.00,1399.5,3466,518.7,-0.89,-0.0017,6969,824,53,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/69/48/merged_dlreco_02a9fb5a-91a2-4fb3-8b66-29b75508ddd9.root
14212,118,5912,10,12,0.00,4996.3,10556,92.7,-0.62,-0.0067,20409,23,19,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/42/12/merged_dlreco_6afb54db-e9d6-4fdc-8cc9-02e5f7c2c624.root
16573,215,10761,4,6,0.00,4994.6,11285,25.8,0.94,0.0364,11593,736,2,/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/65/73/merged_dlreco_d025ed4b-a3df-4da4-bf63-c19c53a2ab6c.root
