# run=15014 subrun=234 event=11701
# true_nu_vertex_generator_cm=(9.268,17.693,248.643)  n_true_nu=1
# gt_nu_vertex_cm_SCE_shifted=(10.284,17.692,248.621)
# beam_flash_t0_us=3.692  total_observed_pe=15524.7
# dlmerged=/cluster/tufts/wongjiradlab/larbys/data/mcc9_scratch/mcc9_v29e_dl_run3b_bnb_nu_overlay_nocrtremerge/data/00/01/50/14/merged_dlreco_bab591ee-b6f3-4516-829c-d80e8e360873.root  entry=49
# ophit_producer=ophitBeam::OverlayStage1OpticalDLrerun  beam_window_us=(2.0,6.0)
# obs_pe = larlite opflash simpleFlashBeam fPEperOpDet (opdet-indexed)
opdet,opchannel,obs_pe,pred_pe,ophit_pe,ophit_maxamp,ophit_nhit,ophit_pe_over_amp,flags
0,4,0.000,0.648,0.000,0.00,0,,
1,2,0.000,0.528,0.586,12.94,1,0.04533,
2,5,0.000,1.041,1.401,29.10,1,0.04814,
3,0,0.970,0.772,1.878,24.30,1,0.07728,
4,6,0.000,1.481,0.122,4.65,1,0.02617,
5,1,0.841,1.437,1.860,20.05,2,0.09274,
6,3,3.229,2.992,3.050,36.40,2,0.08379,
7,9,9.461,6.411,5.411,31.03,3,0.17439,
8,11,8.015,9.331,3.577,37.16,3,0.09625,
9,7,12.796,9.752,8.214,31.96,5,0.25705,
10,12,23.537,17.358,13.178,92.34,5,0.14271,
11,8,28.728,16.844,15.457,97.12,6,0.15915,
12,10,48.922,34.869,24.044,119.77,4,0.20075,
13,15,143.471,103.639,73.714,507.43,3,0.14527,
14,13,232.367,164.302,137.247,771.54,3,0.17789,
15,17,0.000,171.606,0.000,0.00,0,,DEAD
16,18,394.702,327.333,229.803,1645.76,3,0.13963,
17,14,434.230,300.494,236.777,1516.58,1,0.15613,
18,16,0.000,794.211,0.025,349.22,1,0.00007,HOLE SATURATED
19,21,3666.928,2883.661,2308.758,17022.56,3,0.13563,
20,23,62.414,5326.188,39.431,91.67,1,0.43015,
21,19,0.000,2755.666,1.079,17.20,1,0.06270,HOLE dark(no pulse)
22,20,4504.856,3996.637,3092.425,19202.00,4,0.16105,
23,24,3681.303,2939.748,2328.817,17004.05,1,0.13696,
24,22,0.000,7150.587,0.619,8.75,2,0.07077,HOLE dark(no pulse)
25,28,759.157,879.918,464.876,3141.95,1,0.14796,
26,25,401.041,327.357,214.366,1577.68,3,0.13587,
27,30,325.181,281.098,166.784,1204.60,2,0.13846,
28,31,358.643,149.704,111.131,802.53,4,0.13848,
29,26,180.341,168.936,98.537,728.36,2,0.13529,
30,27,139.082,103.937,66.450,482.51,4,0.13772,
31,29,104.475,99.313,29.020,470.12,4,0.06173,
