transform,scale,xmax,dprime_muon_vs_pion,dprime_pion_vs_proton,dprime_muon_vs_proton,mean_dprime
asinh10,10,1000.0,0.2709118608245403,0.38316157971686504,0.1175954502641314,0.25722296360184554
asinh25,25,1000.0,0.29417314681060114,0.4214704899908941,0.13396108042853191,0.28320157241000904
asinh50,50,1000.0,0.29697697952607083,0.43451226726853487,0.1448336969154815,0.2921076479033624
asinh75,75,1000.0,0.2905763544164053,0.431276019106015,0.14819759088901802,0.2900166548038128
asinh100,100,1000.0,0.28302285507118846,0.4241569931533035,0.14868094117703493,0.28528692980050896
asinh150,150,1000.0,0.26972836018640844,0.40903416780940943,0.14675955280512573,0.27517402693364784
asinh200,200,1000.0,0.2595130671183004,0.39618462878438454,0.1439319280767105,0.26654320799313186
asinh300,300,1000.0,0.24550441920434785,0.3774461257974601,0.13876509494354689,0.2539052133151183
asinh500,500,1000.0,0.23045372227195834,0.3562865605938018,0.13194626049047947,0.23956218111874658
asinh1000,1000,1000.0,0.21708016120992207,0.3368497188569483,0.12502267141786763,0.22631751716157933
