class,plane,frac_above_1000ADC
electron,u,0.0016214991620514985
electron,v,0.0013911893825021854
electron,y,0.0002865635265865327
muon,u,0.00034460787735254915
muon,v,0.0004138417561452771
muon,y,0.0014332187986374847
pion,u,0.0006885894096181749
pion,v,0.0007647641922840813
pion,y,0.0005844950939242132
proton,u,0.0017933560384894374
proton,v,0.0018694796311487356
proton,y,0.0016401567486400313
gamma,u,0.0004155029973272015
gamma,v,0.00044695244937671317
gamma,y,0.0018808024870963116
michel,u,3.551566315389451e-05
michel,v,2.347847530643362e-05
michel,y,0.00010065698456915317
delta,u,0.0006442437479956348
delta,v,0.0006319393546478828
delta,y,0.0014473660504081528
led,u,0.00017747420081273672
led,v,0.00016054555909157065
led,y,0.0011619012302646618
